,Number of views last 7 days,Price,currency,amount,Price_Euros,Boat Type,Manufacturer,Type,Condition,Year Built,Length,Width,Size,Material,Location,Country
2834,135,EUR 399000,EUR,399000.0,399000.0,Flybridge,Princess ,"Used boat,Diesel",Used,2009.0,15.37,4.57,70.2409,,Italy Â» Tirreno,Italy 
4390,135,EUR 375000,EUR,375000.0,375000.0,Trawler,Selene ,"Used boat,Diesel",Used,2008.0,14.9,4.77,71.073,GRP,Morocco Â» Ceuta ,Morocco 
8638,135,EUR 34900,EUR,34900.0,34900.0,Trawler,,Used boat,Used,1992.0,10.0,3.55,35.5,Steel,Netherlands Â» Bel voor afspraak,Netherlands 
3276,135,EUR 2500000,EUR,2500000.0,2500000.0,Mega Yacht,,"Used boat,Diesel",Display,2012.0,36.0,7.3,262.8,Steel,,
1747,135,EUR 99000,EUR,99000.0,99000.0,Motor Yacht,Rhea ,"Used boat,Diesel",new,2006.0,9.3,3.3,30.69,PVC,"France Â» 44380 PORNICHET, 44380 PORNICHET",France 
7779,135,EUR 54500,EUR,54500.0,54500.0,Motor Yacht,Airon Marine ,"Used boat,Diesel",new,2005.0,9.78,3.1,30.317999999999998,GRP,"Italy Â» Marche - Umbria Â» Ancona, Marche",Italy 
3843,135,EUR 700000,EUR,700000.0,700000.0,Working Boat,,"Used boat,Diesel",Used,1976.0,34.3,9.2,315.55999999999995,Steel,Netherlands Â» Omgeving Rotterdam,Netherlands 
5230,135,EUR 200516,EUR,200516.0,200516.0,Motor Yacht,Alfastreet Marine ,"new boat from stock,Unleaded",Used,2020.0,9.84,2.97,29.224800000000002,GRP,Switzerland Â» Lake Constance Â» LINDAU,Switzerland 
1783,135,EUR 100000,EUR,100000.0,100000.0,Flybridge,Azimut ,"Used boat,Diesel",new,1993.0,12.74,4.4,56.056000000000004,GRP,Italy Â» Toscana Â» Toscana,Italy 
6886,135,EUR 79500,EUR,79500.0,79500.0,Working Boat,,"Used boat,Diesel",Display,1950.0,19.99,4.85,96.95149999999998,Steel,Netherlands Â» Franeker,Netherlands 
362,135,EUR 21090,EUR,21090.0,21090.0,Sport Boat,Yamarin ,new boat from stock,Used,2019.0,5.67,2.25,12.7575,GRP,Germany Â» auf Anfrage,Germany 
3705,135,EUR 945000,EUR,945000.0,945000.0,Motor Yacht,VanDutch ,"Used boat,Diesel",Used,2015.0,16.45,4.5,74.02499999999999,PVC,France,France
9851,135,EUR 5950,EUR,5950.0,5950.0,Fishing Boat,Atlantis ,Used boat,new,2020.0,4.9,1.7,8.33,Aluminium,Germany Â» Mecklenburg-Vorpommern Â» 17438 Wolgast,Germany 
8400,135,EUR 39500,EUR,39500.0,39500.0,Motor Yacht,Cruisers Yachts ,Used boat,Used,2004.0,9.5,3.05,28.974999999999998,GRP,"Netherlands Â» Verkoophaven Flevostrand Molecatenpark, ""Zuiderzee",Netherlands 
6725,135,CHF 94190,CHF,94190.0,93248.1,Pilothouse,AMT ,"new boat from stock,Unleaded",Used,2020.0,6.4,2.4,15.36,GRP,Switzerland Â» VierwaldstÃ¤ttersee Â» Beckenried ,Switzerland 
1434,135,EUR 74410,EUR,74410.0,74410.0,Deck Boat,Quicksilver ,"new boat from stock,Unleaded",Used,,8.06,3.0,24.18,GRP,Germany Â» Berlin Â» BOOTSCENTER KESER BERLIN,Germany 
2370,135,EUR 205000,EUR,205000.0,205000.0,Flybridge,Sealine ,"Used boat,Diesel",Diesel,2009.0,12.9,4.21,54.309,GRP,Italy Â» Liguria Â» Liguria,Italy 
6124,135,EUR 120000,EUR,120000.0,120000.0,Motor Yacht,Princess ,Used boat,Used,1998.0,12.35,3.9,48.165,,France Â» PACA,France 
6747,135,EUR 85900,EUR,85900.0,85900.0,Cabin Boat,Bayliner ,"Used boat,Unleaded",new,2017.0,8.88,2.55,22.644000000000002,GRP,Spain Â» Mallorca Â» Mallorca,Spain 
6499,135,EUR 98000,EUR,98000.0,98000.0,Motor Yacht,Fairline ,"Used boat,Diesel",Used,2001.0,10.5,3.45,36.225,,Spain Â» Mallorca Â» Mallorca,Spain 
4163,135,EUR 460428,EUR,460428.0,460428.0,Motor Yacht,Fjord ,new boat from stock,Used,2020.0,11.63,3.64,42.333200000000005,GRP,France,France
6072,135,EUR 125000,EUR,125000.0,125000.0,House Boat,,Used boat,Used,2018.0,15.0,4.0,60.0,Aluminium,Netherlands Â» Amsterdam,Netherlands 
8856,134,EUR 29500,EUR,29500.0,29500.0,Sport Boat,Fiart Mare ,"Used boat,Diesel",new,2004.0,7.0,2.0,14.0,GRP,Croatia (Hrvatska) Â» Dalmatia,Croatia (Hrvatska) 
2404,134,EUR 215000,EUR,215000.0,215000.0,Motor Yacht,Ilver ,Used boat,Used,2000.0,15.0,4.25,63.75,GRP,Malta,Malta
3273,134,EUR 2500000,EUR,2500000.0,2500000.0,Motor Yacht,Princess ,"Used boat,Diesel",new,2008.0,29.42,7.06,207.7052,GRP,Italy Â» Sardinien,Italy 
4904,134,EUR 255000,EUR,255000.0,255000.0,House Boat,,"Used boat,Electric",new,2014.0,14.75,4.3,63.425,Aluminium,Germany Â» Berlin Â» Berlin,Germany 
4660,134,EUR 295241,EUR,295241.0,295241.0,Pilothouse,Marex ,"new boat from stock,Diesel",Used,,9.99,3.3,32.967,GRP,"Switzerland Â» Bielersee Â» le landeron, NeuchÃ¢tel ",Switzerland 
9248,134,EUR 20900,EUR,20900.0,20900.0,Cabin Boat,Drago Boats ,"new boat from stock,Unleaded",Used,,5.5,2.0,11.0,GRP,Germany Â» CUXHAVEN,Germany 
9314,134,EUR 13500,EUR,13500.0,13500.0,Classic,Nordson ,Used boat,Used,1963.0,8.4,2.65,22.26,Wood,Netherlands Â» In verkoophaven,Netherlands 
5574,134,EUR 166000,EUR,166000.0,166000.0,Motor Yacht,Sessa ,new boat from stock,Used,2020.0,11.2,3.3,36.959999999999994,,Italy Â» Toscana Â» Toscana,Italy 
9300,134,EUR 19800,EUR,19800.0,19800.0,Trawler,Gruno ,Used boat,Used,1978.0,9.7,3.1,30.07,Steel,"Netherlands Â» Schip ligt op locatie in Roermond, bel ons voor ee",Netherlands 
8829,134,EUR 29990,EUR,29990.0,29990.0,Offshore Boat,Ilver ,"Used boat,Unleaded",new,1987.0,7.8,2.65,20.669999999999998,GRP,Italy Â» Lake Garda Â» Gardasee,Italy 
7397,134,EUR 64800,EUR,64800.0,64800.0,Cabin Boat,Quicksilver ,"new boat from stock,Unleaded",Used,,7.88,2.55,20.093999999999998,GRP,Germany Â» 2,Germany 
6880,134,EUR 79900,EUR,79900.0,79900.0,Motor Yacht,Four Winns ,"Used boat,Unleaded",Used,2018.0,24.42,2.55,62.271,GRP,Spain Â» Andratx,Spain 
8924,134,EUR 28000,EUR,28000.0,28000.0,Cabin Boat,Marex ,"Used boat,Diesel",Used,1990.0,9.1,2.99,27.209,GRP,Croatia (Hrvatska) Â» INFO DD-YACHTING,Croatia (Hrvatska) 
6063,134,EUR 125000,EUR,125000.0,125000.0,Motor Yacht,Linssen ,"Used boat,Diesel",Used,1993.0,12.35,3.85,47.5475,Steel,Germany Â» Neckar,Germany 
2360,134,EUR 209000,EUR,209000.0,209000.0,Motor Yacht,Valk ,Used boat,Used,1999.0,14.9,4.45,66.305,Steel,Netherlands Â» onbekend,Netherlands 
6613,134,EUR 90000,EUR,90000.0,90000.0,Flybridge,Jeanneau ,"Used boat,Diesel",Used,2011.0,9.07,3.33,30.203100000000003,,Italy Â» Aprilia Marittima di Latisana,Italy 
6776,134,EUR 85000,EUR,85000.0,85000.0,Flybridge,BÃ©nÃ©teau ,"Used boat,Diesel",Used,2011.0,9.98,3.35,33.433,GRP,France Â» CÃ´te d'Azur Â» Villeneuve Loubet,France 
9221,134,CHF 23500,CHF,23500.0,23265.0,Pilothouse,Viking (GB) ,"Used boat,Unleaded",new,1990.0,6.75,2.29,15.4575,GRP,Switzerland Â» Rhein Â» MÃ¼nchwilen AG,Switzerland 
2151,134,EUR 159000,EUR,159000.0,159000.0,Wakeboard/Wakesurf,Correct Craft ,"Used boat,Unleaded",new,2009.0,6.38,2.41,15.3758,GRP,Austria,Austria
5911,134,EUR 138000,EUR,138000.0,138000.0,Flybridge,Mochi Craft ,"Used boat,Diesel",Used,1998.0,14.0,,,GRP,Italy Â» Puglia,Italy 
7,134,DKK 24800,DKK,24800.0,3224.0,Sport Boat,,Used boat,Used,,3.0,,,,Denmark Â» Svendborg,Denmark 
3616,134,EUR 1100000,EUR,1100000.0,1100000.0,Trawler,Linssen ,"Used boat,Diesel",new,2017.0,17.8,5.13,91.31400000000001,Steel,Netherlands Â» In verkoophaven,Netherlands 
8393,134,EUR 39900,EUR,39900.0,39900.0,Pilothouse,BÃ©nÃ©teau ,"Used boat,Unleaded",new,2019.0,6.5,2.43,15.795000000000002,PVC,"France Â» LORIENT, France",France 
5315,134,EUR 195000,EUR,195000.0,195000.0,Flybridge,Jeanneau ,"Used boat,Diesel",Used,2008.0,14.33,4.27,61.189099999999996,GRP,Croatia (Hrvatska) Â» Zadar,Croatia (Hrvatska) 
8556,134,EUR 36000,EUR,36000.0,36000.0,Pilothouse,Parker ,"Used boat,Unleaded",Used,2014.0,6.6,2.5,16.5,Plastic,Netherlands Â» Flevoland Â» Dronten,Netherlands 
8753,134,EUR 32000,EUR,32000.0,32000.0,Sport Boat,Bayliner ,"Used boat,Diesel",Used,1998.0,7.99,3.5,27.965,GRP,Croatia (Hrvatska),Croatia (Hrvatska)
8615,134,EUR 35000,EUR,35000.0,35000.0,Motor Yacht,Fairline ,"Used boat,Diesel",new,1993.0,9.98,3.43,34.2314,,"France Â» SAINT CYPRIEN, France",France 
2043,134,EUR 139900,EUR,139900.0,139900.0,Pilothouse,XO Boats ,"Used boat,Unleaded",Used,2016.0,8.6,2.59,22.273999999999997,,Finland Â» Turku,Finland 
8130,134,EUR 45000,EUR,45000.0,45000.0,Motor Yacht,Symbol Yachts ,"Used boat,Diesel",Used,1983.0,11.66,4.17,48.6222,GRP,Croatia (Hrvatska) Â» Adria,Croatia (Hrvatska) 
8344,134,EUR 40000,EUR,40000.0,40000.0,Motor Yacht,Four Winns ,Used boat,Used,2006.0,8.7,2.59,22.532999999999998,GRP,Croatia (Hrvatska) Â» onbekend,Croatia (Hrvatska) 
159,134,DKK 89000,DKK,89000.0,11570.0,Launch,,new boat from stock,Used,2020.0,4.0,2.0,8.0,,Denmark Â» Svendborg,Denmark 
3357,134,EUR 6300000,EUR,6300000.0,6300000.0,Motor Yacht,Bandido Yachts ,new boat from stock,Used,2017.0,23.9,6.76,161.564,,Spain Â» Mallorca Â» Mittelmeer Mallorca,Spain 
5148,134,EUR 219000,EUR,219000.0,219000.0,Motor Yacht,Sunseeker ,"Used boat,Diesel",Used,2001.0,16.13,4.44,71.6172,GRP,Germany Â» Ostsee Â» Schleswig-Holstein / Ostsee,Germany 
2553,134,EUR 265000,EUR,265000.0,265000.0,Motor Yacht,Aquador ,"Used boat,Diesel",Used,2013.0,10.7,3.45,36.915,GRP,Germany Â» Ostsee Â» Ãstliche Ostsee,Germany 
5122,134,EUR 220000,EUR,220000.0,220000.0,Motor Yacht,Bavaria ,"Used boat,Diesel",Used,2012.0,11.0,3.0,33.0,GRP,Croatia (Hrvatska) Â» Dalmatia,Croatia (Hrvatska) 
2989,134,EUR 573936,EUR,573936.0,573936.0,Hardtop,Sealine ,"new boat from stock,Diesel",Display,2019.0,12.5,3.85,48.125,PVC,"France Â» Frejus, France",France 
5926,134,EUR 135247,EUR,135247.0,135247.0,Bowrider,Regal ,"new boat from stock,Unleaded",Used,2021.0,8.0,2.5,20.0,GRP,Germany Â» Lake Constance Â» Lindau/Bodensee,Germany 
5227,134,CHF 219900,CHF,219900.0,217701.0,Motor Yacht,Monterey ,"Used boat,Unleaded",Used,2008.0,10.7,3.4,36.379999999999995,GRP,Switzerland Â» 3421 Lyssach,Switzerland 
1147,133,EUR 57000,EUR,57000.0,57000.0,Motor Yacht,Sealine ,"Used boat,Diesel",Used,1993.0,9.98,3.23,32.2354,GRP,Italy Â» INFO DD-YACHTING,Italy 
2512,133,EUR 249000,EUR,249000.0,249000.0,Motor Yacht,Fairline ,Used boat,Used,2007.0,16.22,4.27,69.25939999999999,GRP,Croatia (Hrvatska) Â» Sibenic,Croatia (Hrvatska) 
8857,133,EUR 29500,EUR,29500.0,29500.0,Deck Boat,,Used boat,Used,2004.0,6.0,2.18,13.080000000000002,GRP,Netherlands Â» Edam,Netherlands 
3699,133,EUR 949000,EUR,949000.0,949000.0,Hardtop,Princess ,"Used boat,Diesel",Used,2014.0,19.35,4.99,96.55650000000001,GRP,France Â» CÃ´te d'Azur Â» Nice,France 
7403,133,CHF 69900,CHF,69900.0,69201.0,Sport Boat,AMT ,new boat from stock,Used,2019.0,6.9,2.6,17.94,GRP,Switzerland Â» VierwaldstÃ¤ttersee Â» Beckenried ,Switzerland 
9345,133,EUR 18950,EUR,18950.0,18950.0,Sport Boat,Aquanaut ,Used boat,Used,1981.0,8.5,3.1,26.35,Steel,Netherlands Â» In verkoophaven,Netherlands 
7996,133,EUR 49000,EUR,49000.0,49000.0,Sport Boat,Regal ,"Used boat,Unleaded",Used,2014.0,6.7,2.5,16.75,Wood,"France Â» DIENVILLE, France",France 
5656,133,EUR 158988,EUR,158988.0,158988.0,Sport Boat,Invictus ,"new boat from stock,Diesel",Used,2019.0,8.9,2.84,25.276,PVC,"France Â» Frejus, France",France 
4877,133,EUR 260000,EUR,260000.0,260000.0,Motor Yacht,Uniesse ,"Used boat,Diesel",Used,2003.0,14.67,4.62,67.7754,,Italy Â» Sardegna Â» Sardegna,Italy 
6326,133,EUR 109000,EUR,109000.0,109000.0,Motor Yacht,Gruno ,"Used boat,Diesel",Used,2004.0,11.0,3.7,40.7,Steel,Germany Â» Mecklenburg-Vorpommern Â» 17207 RÃ¶bel,Germany 
592,133,CHF 33000,CHF,33000.0,32670.0,Pilothouse,Selection Boats ,"new boat from stock,Unleaded",Used,,5.6,2.35,13.16,,Switzerland Â» VÃ©senaz,Switzerland 
3199,133,EUR 1249000,EUR,1249000.0,1249000.0,Motor Yacht,Azimut ,"Used boat,Diesel",new,2016.0,16.76,4.7,78.772,GRP,Spain Â» Mallorca Â» Cala dÂ´Or ,Spain 
3093,133,EUR 833000,EUR,833000.0,833000.0,Flybridge,Fairline ,"new boat from stock,Diesel",Used,,15.46,4.32,66.78720000000001,GRP,Germany Â» Ostsee Â» OSTSEE / DEUTSCHLAND,Germany 
2976,133,EUR 550000,EUR,550000.0,550000.0,Sport Boat,,"new boat from stock,Diesel",new,2019.0,13.5,4.2,56.7,,"Spain Â» MaÃ³-MahÃ³n, Espagne",Spain 
3974,133,EUR 585400,EUR,585400.0,585400.0,Flybridge,Galeon ,"new boat from stock,Diesel",Used,,14.35,4.37,62.7095,GRP,Germany Â» AB WERFT,Germany 
8318,133,EUR 41500,EUR,41500.0,41500.0,Pilothouse,Jeanneau ,"Used boat,Unleaded",Used,2016.0,6.55,2.54,16.637,PVC,"France Â» SAINT CYPRIEN, France",France 
7314,133,EUR 66300,EUR,66300.0,66300.0,Deck Boat,Sessa ,"new boat from stock,Unleaded",Used,2020.0,8.0,2.43,19.44,GRP,Italy Â» Toscana Â» Toscana,Italy 
8439,133,EUR 39000,EUR,39000.0,39000.0,Pilothouse,Rodman ,"Used boat,Diesel",Used,2006.0,8.61,2.98,25.657799999999998,PVC,"France Â» LA GRANDE MOTTE, France",France 
7301,133,CHF 72000,CHF,72000.0,71280.0,Motor Yacht,Italcraft ,"Used boat,Diesel",Used,1979.0,11.8,3.65,43.07,GRP,Switzerland Â» Rhein Â» Pratteln ,Switzerland 
1805,133,EUR 109000,EUR,109000.0,109000.0,Sport Boat,Vismara ,"Used boat,Diesel",Used,2013.0,9.95,2.96,29.451999999999998,GRP,Italy Â» Mar Tirreno,Italy 
3161,133,EUR 1040000,EUR,1040000.0,1040000.0,Mega Yacht,Pershing ,"Used boat,Diesel",new,2006.0,23.49,5.51,129.42989999999998,GRP,Italy Â» Napels,Italy 
38,133,EUR 3500,EUR,3500.0,3500.0,Center console boat,Ibis ,"Used boat,Unleaded",Used,1983.0,4.4,1.5,6.6000000000000005,GRP,Germany Â» Verkaufshafen Brandenburg-Plaue,Germany 
9390,133,EUR 17995,EUR,17995.0,17995.0,Launch,,new boat from stock,new,2020.0,5.0,1.85,9.25,,Netherlands Â» Pingjum/ binnenkort Sneek,Netherlands 
6400,133,EUR 100000,EUR,100000.0,100000.0,Fishing Boat,Boston Whaler ,"Used boat,Unleaded",new,2010.0,10.0,3.22,32.2,GRP,Italy Â» Mar Tirreno,Italy 
3340,133,EUR 8350000,EUR,8350000.0,8350000.0,Motor Yacht,Curvelle ,"Used boat,Diesel",Used,2013.0,34.1,9.0,306.90000000000003,Carbon Fiber,Croatia (Hrvatska) Â» Dubrovnik,Croatia (Hrvatska) 
756,133,CHF 42000,CHF,42000.0,41580.0,"Classic,Runabout",Comitti ,"Used boat,Unleaded",Used,1963.0,5.3,1.9,10.069999999999999,Wood,Switzerland Â» Lake Geneva Â» Tolochenaz,Switzerland 
9476,133,EUR 16000,EUR,16000.0,16000.0,Deck Boat,Jeanneau ,"Used boat,Unleaded",Used,2003.0,7.1,2.44,17.323999999999998,PVC,"France Â» OUISTREHAM, France",France 
7348,133,EUR 65000,EUR,65000.0,65000.0,Sport Boat,Chaparral ,"Used boat,Unleaded",Used,2008.0,8.79,2.74,24.0846,PVC,"Spain Â» Viladamat, Espagne",Spain 
7548,133,CHF 64500,CHF,64500.0,63855.0,Bowrider,Chaparral ,new boat from stock,Used,2018.0,6.4,2.6,16.64,GRP,Switzerland Â» Lake Constance Â» Gottlieben ,Switzerland 
8058,133,EUR 47175,EUR,47175.0,47175.0,Pilothouse,Quicksilver ,"new boat from stock,Unleaded",Used,,7.39,2.79,20.6181,GRP,Germany Â» Berlin Â» BOOTSCENTER KESER BERLIN,Germany 
155,133,EUR 11990,EUR,11990.0,11990.0,Sport Boat,,new boat from stock,Used,2019.0,4.6,1.8,8.28,Aluminium,Germany Â» Erftstadt,Germany 
8330,133,EUR 41000,EUR,41000.0,41000.0,Trawler,Hollandia ,Used boat,Used,1968.0,11.8,3.6,42.480000000000004,Steel,Netherlands Â» Brielle,Netherlands 
6936,132,EUR 79000,EUR,79000.0,79000.0,Flybridge,Dellapasqua ,Used boat,Used,2002.0,11.3,3.6,40.68000000000001,GRP,Italy Â» Veneto Â» Veneto,Italy 
1208,132,EUR 59900,EUR,59900.0,59900.0,Offshore Boat,AluForce ,"new boat from stock,Unleaded",new,,8.2,2.5,20.5,Aluminium,Germany Â» Mecklenburg-Vorpommern Â» Gustow,Germany 
9526,132,EUR 14999,EUR,14999.0,14999.0,Sport Boat,Italmar ,"new boat from stock,Unleaded",Used,2020.0,4.99,2.1,10.479000000000001,GRP,Germany Â» Wesel,Germany 
2050,132,EUR 143819,EUR,143819.0,143819.0,Cabin Boat,Regal ,"new boat from stock,Unleaded",Unleaded,2021.0,7.9,2.5,19.75,GRP,Germany Â» Lake Constance Â» Lindau/Bodensee,Germany 
285,132,EUR 18000,EUR,18000.0,18000.0,Sport Boat,Tullio Abbate ,"Used boat,Unleaded",Used,2004.0,6.53,2.29,14.953700000000001,,Italy Â» Lago,Italy 
6484,132,CHF 107000,CHF,107000.0,105930.0,Sport Boat,A. Mostes ,"new boat from stock,Unleaded",new,2020.0,6.7,2.25,15.075000000000001,GRP,Switzerland Â» Lake of Zurich Â» Obersee,Switzerland 
5837,132,EUR 144900,EUR,144900.0,144900.0,Motor Yacht,Bavaria ,"new boat from stock,Unleaded",new,2019.0,9.31,2.99,27.836900000000004,GRP,Germany Â» Lake Constance Â» Kressbronn,Germany 
204,132,EUR 14000,EUR,14000.0,14000.0,Sport Boat,Gobbi ,"Used boat,Unleaded",Used,1990.0,6.42,2.38,15.279599999999999,GRP,Italy,Italy
1286,132,EUR 65000,EUR,65000.0,65000.0,Motor Yacht,Pedro ,"Used boat,Diesel",Used,1990.0,10.5,3.4,35.699999999999996,,Germany Â» Verkaufshafen MÃ¼lheim Ruhr,Germany 
4780,132,EUR 276200,EUR,276200.0,276200.0,Hardtop,Grandezza ,"new boat on order,Diesel",Used,2020.0,10.03,3.23,32.396899999999995,GRP,Germany Â» Baden-WÃ¼rttemberg Â» Trogir ,Germany 
4797,132,EUR 274900,EUR,274900.0,274900.0,Motor Yacht,Jeanneau ,"new boat from stock,Diesel",Used,2019.0,10.5,3.32,34.86,GRP,Germany Â» Bayern Â» Boote Pfister Schwebheim / Schweinfurt,Germany 
5134,132,EUR 219000,EUR,219000.0,219000.0,Hardtop,Sessa ,"new boat from stock,Unleaded",Unleaded,2020.0,11.4,3.45,39.330000000000005,GRP,Italy Â» Toscana Â» Toscana,Italy 
6704,132,EUR 89000,EUR,89000.0,89000.0,Flybridge,Fairline ,"Used boat,Diesel",Used,1990.0,12.91,4.18,53.9638,GRP,Italy Â» Mar Ligure,Italy 
3144,132,EUR 989900,EUR,989900.0,989900.0,Flybridge,Azimut ,"Used boat,Diesel",new,1992.0,29.87,6.1,182.207,GRP,Croatia (Hrvatska) Â» Kroatien,Croatia (Hrvatska) 
3339,132,EUR 8800000,EUR,8800000.0,8800000.0,Mega Yacht,Cantiere delle Marche ,"Used boat,Diesel",new,2016.0,31.0,7.43,230.32999999999998,Steel,Italy,Italy
5273,132,EUR 199000,EUR,199000.0,199000.0,Trawler,Pikmeerkruiser ,Used boat,Used,2005.0,13.9,4.15,57.68500000000001,Steel,Netherlands Â» Grou,Netherlands 
8933,132,EUR 28000,EUR,28000.0,28000.0,Pontoon Boat,Bluline ,new boat from stock,new,2020.0,7.02,2.42,16.9884,GRP,Italy Â» Friuli Venezia Giulia Â» Villa Vicentina,Italy 
2375,132,EUR 212000,EUR,212000.0,212000.0,Hardtop,Bavaria ,"Used boat,Diesel",Used,2014.0,12.95,3.99,51.6705,GRP,Croatia (Hrvatska) Â» INFO DD-YACHTING,Croatia (Hrvatska) 
8755,132,EUR 32000,EUR,32000.0,32000.0,Motor Yacht,,Used boat,Used,1982.0,11.5,3.5,40.25,Steel,Netherlands Â» Bezichtiging op afspraak/Call us for a visit/Bitte,Netherlands 
2707,132,EUR 325000,EUR,325000.0,325000.0,Trawler,Linssen ,Used boat,Used,2001.0,13.72,4.3,58.996,GRP,Netherlands Â» In verkoophaven,Netherlands 
5703,132,EUR 153640,EUR,153640.0,153640.0,Sport Boat,Grandezza ,"new boat on order,Unleaded",Used,2020.0,8.8,2.85,25.080000000000002,GRP,Croatia (Hrvatska) Â» Trogir ,Croatia (Hrvatska) 
7914,132,EUR 49900,EUR,49900.0,49900.0,Trawler,,Used boat,new,1980.0,12.9,3.75,48.375,Steel,Netherlands Â» In verkoophaven,Netherlands 
5,132,CHF 3650,CHF,3650.0,3613.5,Sport Boat,Linder ,new boat from stock,Used,,4.03,1.56,6.2868,Aluminium,Switzerland Â» Lake Constance Â» Uttwil,Switzerland 
1857,132,EUR 115000,EUR,115000.0,115000.0,Motor Yacht,Bavaria ,"Used boat,Diesel",Used,2009.0,11.95,3.99,47.6805,,"Italy Â» Marche - Umbria Â» Ancona, Marche",Italy 
2146,132,EUR 159000,EUR,159000.0,159000.0,Sport Boat,Cranchi ,"new boat from stock,Unleaded",Used,2019.0,7.89,2.5,19.724999999999998,GRP,Germany Â» Niedersachsen Â» Seelze/Hannover,Germany 
4009,132,EUR 559241,EUR,559241.0,559241.0,Flybridge,Sealine ,"new boat from stock,Diesel",new,2020.0,13.55,4.2,56.910000000000004,GRP,Germany Â» Nordsee Â» Info AMY-Brumund,Germany 
7538,132,EUR 59900,EUR,59900.0,59900.0,Bowrider,Saxdor ,"new boat from stock,Unleaded",new,2020.0,5.94,2.29,13.6026,,Germany Â» Boote Pfister GmbH Schwebheim / Schweinfurt,Germany 
9790,132,EUR 8000,EUR,8000.0,8000.0,Pilothouse,Jeanneau ,"Used boat,Unleaded",Used,2001.0,5.22,2.28,11.901599999999998,PVC,"France Â» Ãtables-sur-Mer, France",France 
8854,132,EUR 29500,EUR,29500.0,29500.0,Deck Boat,Eolo ,"new boat from stock,Unleaded",new,2020.0,5.9,2.5,14.75,,Italy Â» Venezia,Italy 
3993,132,EUR 569000,EUR,569000.0,569000.0,Trawler,van der Heijden ,"Used boat,Diesel",Used,2010.0,14.99,4.99,74.8001,Steel,Germany Â» Kiel,Germany 
4966,132,EUR 247500,EUR,247500.0,247500.0,Trawler,,Used boat,Used,2013.0,13.5,4.0,54.0,Steel,Netherlands Â» Op aanvraag,Netherlands 
294,132,EUR 18000,EUR,18000.0,18000.0,Pilothouse,,"Used boat,Diesel",Used,1981.0,8.8,3.5,30.800000000000004,GRP,Italy Â» Toscana Â» Toscana,Italy 
1803,132,EUR 105000,EUR,105000.0,105000.0,Motor Yacht,Cranchi ,"Used boat,Diesel",new,2007.0,10.35,3.55,36.7425,,Italy Â» Puglia,Italy 
4705,132,EUR 289500,EUR,289500.0,289500.0,Trawler,BÃ©nÃ©teau ,Used boat,Used,2013.0,13.88,4.25,58.99,PVC,"Spain Â» Valencia, Espagne",Spain 
4298,132,EUR 399000,EUR,399000.0,399000.0,Flybridge,Gianetti ,"Used boat,Diesel",new,2003.0,24.0,5.35,128.39999999999998,,Spain Â» Mallorca Â» Mittelmeer Mallorca,Spain 
189,132,EUR 13500,EUR,13500.0,13500.0,Sport Boat,Windy ,"Used boat,Unleaded",Used,1990.0,8.8,2.79,24.552000000000003,GRP,Croatia (Hrvatska) Â» INFO DD-YACHTING,Croatia (Hrvatska) 
7357,132,EUR 65000,EUR,65000.0,65000.0,Cabin Boat,Apreamare ,"Used boat,Diesel",Used,2003.0,7.5,2.99,22.425,GRP,Italy Â» Sardegna Â» Sardegna,Italy 
7214,132,EUR 69500,EUR,69500.0,69500.0,Motor Yacht,Barkas ,Used boat,Used,2004.0,10.3,3.65,37.595,Steel,"Netherlands Â» Verkoophaven Flevostrand Molecaten, Nav. ""zuiderze",Netherlands 
9403,131,EUR 17900,EUR,17900.0,17900.0,Cabin Boat,Quicksilver (Brunswick Marine) ,"Used boat,Unleaded",Used,2013.0,4.83,2.32,11.205599999999999,GRP,Germany Â» Schwebheim / Schweinfurt,Germany 
906,131,EUR 45000,EUR,45000.0,45000.0,Motor Yacht,Sessa ,"Used boat,Unleaded",Used,2014.0,8.58,2.69,23.0802,,Spain Â» Mallorca Â» Calvia / Mallorca,Spain 
589,131,Â£ 27995,Â£,27995.0,32474.199999999997,Hardtop,Hardy Marine ,"Used boat,Diesel",Used,1996.0,8.38,3.2,26.816000000000003,PVC,"Spain Â» Ametlla De Mar, Ametlla De Mar",Spain 
6653,131,EUR 89500,EUR,89500.0,89500.0,Trawler,,Used boat,Used,1992.0,12.4,4.05,50.22,Steel,Netherlands Â» Port ZÃ©lande,Netherlands 
9125,131,EUR 24000,EUR,24000.0,24000.0,Pilothouse,BÃ©nÃ©teau ,"Used boat,Diesel",Used,2000.0,7.44,2.75,20.46,,"France Â» granville, France",France 
3042,131,EUR 649000,EUR,649000.0,649000.0,Motor Yacht,,"Used boat,Diesel",Used,2001.0,25.3,6.1,154.32999999999998,,Spain Â» Mallorca Â» Mittelmeer Mallorca,Spain 
5526,131,EUR 172000,EUR,172000.0,172000.0,Motor Yacht,Azimut ,"Used boat,Diesel",Used,2003.0,12.99,4.16,54.0384,GRP,Italy Â» Ligurien,Italy 
6779,131,EUR 85000,EUR,85000.0,85000.0,Motor Yacht,Cranchi ,"Used boat,Diesel",Used,2007.0,11.93,3.5,41.754999999999995,,"Spain Â» Ibiza, Balearic Islands",Spain 
