,Unnamed: 0,Number of views last 7 days,currency,Price_Euros,Boat Type,Manufacturer,Type,Condition,Year Built,Length,Width,Material,Country,price_percentile
41,41,1019,CHF,68310.0,Wakeboard/Wakesurf,Malibu ,"Used boat,Unleaded",Used,2012.0,7.01,2.54,GRP,Switzerland ,31-40
42,42,1017,CHF,49500.0,Wakeboard/Wakesurf,Malibu ,"Used boat,Unleaded",Used,2005.0,6.85,2.46,GRP,"ZÃ¼richse, 8855 Wangen SZ",21-30
43,43,1014,EUR,89900.0,Cabin Boat,Quicksilver ,"Used boat,Diesel",Used,2015.0,9.02,2.98,GRP,TravemÃ¼nde ,41-50
44,44,1009,EUR,31000000.0,Mega Yacht,Majesty Yachts ,"new boat from stock,Diesel",new,2020.0,54.4,9.6,,United Arab Emirates ,91-100
45,45,997,CHF,5197.5,Sport Boat,Fletcher ,"Used boat,Unleaded",Used,1975.0,4.38,1.7,GRP,Switzerland ,0-10
46,46,991,EUR,100000.0,Cabin Boat,Bavaria ,"Used boat,Diesel",Used,2006.0,13.4,4.28,Plastic,Bulgaria ,51-60
47,47,990,CHF,17820.0,"Motor Yacht,Sport Boat",Rio ,"Used boat,Unleaded",Used,2000.0,6.4,2.34,GRP,Switzerland ,0-10
48,48,986,EUR,5900000.0,Mega Yacht,Rodriguez Group (Italyachts) ,"Used boat,Diesel",Used,2010.0,41.1,8.4,Aluminium,France ,91-100
49,49,973,CHF,29205.0,Hardtop,Bella ,"Used boat,Diesel",Used,2002.0,6.3,2.25,Plastic,Switzerland ,11-20
50,50,961,DKK,107250.0,Flybridge,Princess ,"Used boat,Diesel",Used,1996.0,14.95,4.3,GRP,Denmark ,51-60
51,51,920,CHF,58410.0,"Classic,Runabout",Frauscher ,"Used boat,Unleaded",Used,2007.0,6.06,2.2,GRP,Switzerland ,31-40
52,52,917,CHF,57420.0,Motor Yacht,Bavaria ,"Used boat,Unleaded",Used,2006.0,9.3,2.98,GRP,Avenches,31-40
53,53,917,CHF,78210.0,Classic,Boesch ,"Used boat,Unleaded",Used,1984.0,5.9,2.12,Wood,Switzerland ,41-50
54,54,915,CHF,37620.0,Sport Boat,Colombo ,"Used boat,Unleaded",Used,2004.0,6.94,2.27,GRP,Switzerland ,21-30
55,55,912,CHF,940500.0,Classic,Sunseeker ,"Used boat,Diesel",Used,2014.0,15.85,4.7,GRP,Switzerland ,91-100
56,56,908,CHF,128502.0,Wakeboard/Wakesurf,Malibu ,"Used boat,Unleaded",Used,2019.0,7.5,2.59,GRP,Switzerland ,51-60
57,57,900,EUR,10000.0,"Cabin Boat,Trawler",Werner  ,"Used boat,Diesel",Used,1940.0,12.5,2.5,Steel,Germany ,0-10
58,58,899,CHF,103950.0,Wakeboard/Wakesurf,Axis ,"Used boat,Unleaded",Used,2020.0,7.16,2.59,GRP,Switzerland ,51-60
59,59,896,CHF,25641.0,Motor Yacht,Windy ,"Used boat,Unleaded",Used,1992.0,8.6,2.8,GRP,Switzerland ,11-20
60,60,892,EUR,58000.0,Cabin Boat,Striker ,"Used boat,Diesel",Used,1972.0,11.31,3.6,Aluminium,Germany ,31-40
61,61,888,CHF,24750.0,Fishing Boat,The Captains ,new boat on order,new,2020.0,6.6,1.85,GRP,Switzerland ,11-20
62,62,888,CHF,14800.5,"Bowrider,Deck Boat,Water ski",Bluewater Yachts ,"Used boat,Unleaded",Used,1995.0,6.14,2.47,GRP,Switzerland ,0-10
63,63,885,CHF,33561.0,Motor Yacht,Doral ,"Used boat,Unleaded",Used,1995.0,7.01,2.59,GRP,Switzerland ,11-20
64,64,885,CHF,35541.0,Sport Boat,ATOMIX ,"Used boat,Unleaded",Used,2012.0,8.2,2.36,GRP,Switzerland ,21-30
65,65,883,CHF,48510.0,Wakeboard/Wakesurf,MasterCraft ,Used boat,Used,2009.0,6.6,2.54,GRP,Switzerland ,21-30
